step,lr,influence_raw,influence_lr_normalized
141,2.13000000e-05,-2.01326912e-07,-9.45196770e-03
142,2.14500000e-05,3.79118679e-08,1.76745305e-03
143,2.16000000e-05,1.73853810e-08,8.04878751e-04
144,2.17500000e-05,-6.45288978e-09,-2.96684587e-04
145,2.19000000e-05,-1.06580709e-07,-4.86669906e-03
146,2.20500000e-05,1.13185658e-07,5.13313643e-03
147,2.22000000e-05,-1.39401851e-07,-6.27936266e-03
148,2.23500000e-05,-1.47513011e-08,-6.60013471e-04
149,2.25000000e-05,-1.31439275e-08,-5.84174556e-04
150,2.26500000e-05,-3.14034949e-08,-1.38646777e-03
151,2.28000000e-05,-8.39891454e-08,-3.68373445e-03
152,2.29500000e-05,3.56718684e-08,1.55432978e-03
153,2.31000000e-05,6.54543880e-08,2.83352329e-03
154,2.32500000e-05,-6.60523880e-08,-2.84096292e-03
155,2.34000000e-05,-2.60939787e-07,-1.11512729e-02
156,2.35500000e-05,-3.74688891e-08,-1.59103563e-03
157,2.37000000e-05,-7.92388533e-08,-3.34341153e-03
158,2.38500000e-05,8.59424387e-09,3.60345655e-04
159,2.40000000e-05,2.22976519e-07,9.29068830e-03
160,2.41500000e-05,6.32263997e-08,2.61807038e-03
161,2.43000000e-05,7.89720018e-08,3.24987662e-03
162,2.44500000e-05,4.58936888e-08,1.87704249e-03
163,2.46000000e-05,1.18226569e-08,4.80595807e-04
164,2.47500000e-05,1.78141522e-08,7.19763723e-04
165,2.49000000e-05,-3.24136576e-07,-1.30175332e-02
166,2.50500000e-05,-1.12628514e-07,-4.49614828e-03
167,2.52000000e-05,-4.29267728e-08,-1.70344337e-03
168,2.53500000e-05,-6.62257844e-08,-2.61245698e-03
169,2.55000000e-05,6.56262024e-08,2.57357656e-03
170,2.56500000e-05,-7.96724409e-08,-3.10613805e-03
171,2.58000000e-05,1.78577544e-08,6.92161023e-04
172,2.59500000e-05,1.26480293e-08,4.87399973e-04
173,2.61000000e-05,-8.57460661e-08,-3.28528989e-03
